name	faculty
HONOURS ACTUARIAL AND FINANCIAL MATHEMATICS	02
PHILOSOPHY & SOCIAL WORK	14
FAMILY MEDICINE	23
HONOURS PHILOSOPHY & PSYCHOLOGY	14
CONTINUING	07
ELECTRICAL ENGINEERING & INTERNATIONAL STUDIES	03
HONOURS MULTIMEDIA & GEOGRAPHY	14
MEDICAL RADIATION SCIENCES -RADIATION THERAPY SPECIALIZATION	02
HONOURS FRENCH	14
HONOURS CLASSICS & HISTORY	14
HONOURS ACTUARIAL AND FINANCIAL MATHEMATICS (CO-OP)	02
SOFTWARE ENGINEERING & SOCIETY	03
RELIGIOUS STUDIES & SOCIAL WORK	15
HONOURS COMMUNICATION STUDIES & SOCIOLOGY	15
CIVIL ENG & MANAGEMENT STRUCTURAL/GEOTECHNICAL ENG STR CO-OP	03
HONOURS MULTIMEDIA & RELIGIOUS STUDIES	14
HONOURS ARTS & SCIENCE	07
HONOURS LINGUISTICS & RELIGIOUS STUDIES	14
PHYSICAL SCIENCES 1	02
HONOURS ECONOMICS & POLITICAL SCIENCE	15
HONOURS LINGUISTICS & SOCIOLOGY	14
HONOURS ECONOMICS & MATHEMATICS	15
MECHANICAL ENGINEERING & SOCIETY	03
OTOLARYNGOLOGY	23
HONOURS BIOCHEMISTRY (ORIGINS RESEARCH SPECIALIZATION)	02
HONOURS ART & ART HISTORY	14
HONOURS CLASSICS & FRENCH	14
HONOURS MULTIMEDIA & PHILOSOPHY	14
BUSINESS 1	06
HONOURS MULTIMEDIA & ANTHROPOLOGY	14
INTERNAL MEDICINE-WATERLOO/WELLINGTON	23
MEDICAL RADIATION SCIENCES - RADIOGRAPHY SPECIALIZATION	02
FAMILY MEDICINE RURAL - COLLINGWOOD	23
HONOURS ARTS & SCIENCE & ENGLISH	07
SOFTWARE ENGINEERING & INTERNATIONAL STUDIES CO-OP	03
ENGINEERING PHYSICS & MANAGEMENT CO-OP	03
HONOURS ECONOMICS & COMPUTER SCIENCE	15
CIVIL ENG & SOCIETY-STRUCTURAL/GEOTECHNICAL ENG STREAM CO-OP	03
HISTORY & INDIGENOUS STUDIES	14
HONOURS CLASSICS & LINGUISTICS	14
HEMATOLOGICAL PATHOLOGY	23
CHEMICAL ENGINEERING & SOCIETY CO-OP	03
HONOURS MATHEMATICS & STATISTICS(STATISTICS SPECIALIZATION)	02
PHYSICIAN ASSISTANT	04
ELECTRICAL ENGINEERING & MANAGEMENT CO-OP	03
HONOURS HISTORY & LABOUR STUDIES	14
HONOURS COMMUNICATION STUDIES & HISTORY	14
HONOURS INTEGRATED SCIENCE (BIOPHYSICS)	02
INDIGENOUS STUDIES & SOCIOLOGY & SOCIAL WORK	15
NEPHROLOGY/INTERNAL MEDICINE	23
HONOURS PEACE STUDIES & POLITICAL SCIENCE	14
HONOURS FRENCH & SOCIOLOGY	14
HONOURS BIOLOGY	02
HONOURS MATHEMATICS & STATISTICS CO-OP (STATISTICS SPEC)	02
ELECTRICAL ENGINEERING & SOCIETY CO-OP	03
ORTHOPEDIC SURGERY NORTH	23
HONOURS HISTORY & MATHEMATICS	14
HONOURS GERONTOLOGY & PSYCHOLOGY	15
HONOURS MUSIC	14
DIVINITY COLLEGE DIPLOMA IN MINISTRY	13
EXCHANGE STUDENT	02
HONOURS BIOCHEMISTRY CO-OP (BIOMEDICAL SCIENCES)	02
LABOUR STUDIES	15
HONOURS CLASSICS & ENGLISH	14
FAMILY MEDICINE RURAL - FERGUS	23
MATERIALS ENG & MANAGEMENT - NANOMATERIALS STREAM CO-OP	03
CHEMICAL ENGINEERING CO-OP	03
HONOURS HEALTH STUDIES & PSYCHOLOGY	15
HONOURS FRENCH & PHILOSOPHY	14
HONOURS INTEGRATED SCIENCE (MATHEMATICS & STATISTICS)	02
HONOURS COMMUNICATION STUDIES & ECONOMICS	15
ENERGY ENGINEERING TECHNOLOGIES	03
HONOURS MEDICAL & HEALTH PHYSICS CO-OP	02
HONOURS PEACE STUDIES & LABOUR STUDIES	14
COMPUTER ENGINEERING & MANAGEMENT	03
SOFTWARE ENGINEERING (GAME DESIGN) CO-OP	03
HONOURS HEALTH STUDIES & GEOGRAPHY	15
SOCIAL SCIENCES 1	15
HONOURS PSYCHOLOGY & SOCIOLOGY	15
HONOURS ANTHROPOLOGY & POLITICAL SCIENCE	15
HONOURS SOCIOLOGY	15
HONOURS HISTORY & PSYCHOLOGY	14
FAMILY MEDICINE RURAL - GRIMSBY	23
HONOURS HEALTH STUDIES & ANTHROPOLOGY	15
PHILOSOPHY	14
INDIGENOUS STUDIES & PSYCHOLOGY	15
HONOURS ECONOMICS	15
UROLOGY	23
HONOURS ART HISTORY & HISTORY	14
ECONOMICS & SOCIAL WORK	15
HONOURS HEALTH STUDIES & LABOUR STUDIES	15
HONOURS COMMUNICATION STUDIES & MULTIMEDIA	14
CARDIAC SURGERY	23
MEDICAL RADIATION SCIENCES	02
NEUROLOGY	23
HONOURS COMMUNICATION STUDIES & GEOGRAPHY	15
HONOURS ART HISTORY & THEATRE & FILM STUDIES	14
HONOURS ENVIRONMENTAL SCIENCES	02
POLITICAL SCIENCE & SOCIAL WORK	15
VASCULAR SURGERY	23
HONOURS GEOGRAPHY & ENVIRONMENTAL STUDIES	15
CIVIL ENG & INTL STUDIES-WATER/ENVIRONMENTAL ENG STR CO-OP	03
HONOURS RELIGIOUS STUDIES & SOCIOLOGY	15
CONTINUING	15
CHRISTIAN THEOLOGY	13
MUSIC 1	14
HONOURS ARTS & SCIENCE & PEACE STUDIES	07
HONOURS ARTS & SCIENCE & POLITICAL SCIENCE	07
HONOURS BIOCHEMISTRY - BIOMEDICAL RESEARCH SPECIALIZATION (CO-OP)	02
ANATOMICAL PATHOLOGY	23
PEDIATRIC SURGERY	23
MECHATRONICS & INTERNATIONAL STUDIES	03
HONOURS PEACE STUDIES & SOCIOLOGY	14
OPHTHALMOLOGY	23
HONOURS LINGUISTICS & MULTIMEDIA	14
HONOURS CHEMICAL BIOLOGY (CO-OP)	02
CREDIT OUTSIDE MCMASTER	15
HONOURS BIOCHEMISTRY (BIOMEDICAL SCIENCES)	02
HONOURS B HTH SCI (BIOMEDICAL SCIENCES SPECIALIZATION)	04
HEMATOLOGY - ONCOLOGY/PEDIATRICS	23
NURSING - CONESTOGA SITE	24
HONOURS ART & ENGLISH	14
HONOURS FRENCH & PEACE STUDIES	14
HONOURS COMMUNICATION ST & CULTURAL ST AND CRITICAL THEORY	14
FAMILY MEDICINE - ANAESTHESIA/ROMP	23
HONOURS ANTHROPOLOGY & PSYCHOLOGY	15
HONOURS BIOLOGY (PHYSIOLOGY SPECIALIZATION)	02
CIVIL ENGINEERING & SOCIETY	03
HONOURS PHILOSOPHY & LABOUR STUDIES	14
INTEGRATED SCIENCE 1	02
HONOURS RELIGIOUS STUDIES	15
CIVIL ENGINEERING & MANAGEMENT CO-OP	03
ART HISTORY	14
CONTINUING	02
HONOURS COGNITIVE SCIENCE OF LANGUAGE & FRENCH	14
HONOURS ARTS & SCIENCE & PSYCHOLOGY	07
HONOURS B HTH SCI (CHILD HEALTH SPECIALIZATION)	04
HONOURS ANTHROPOLOGY	15
MEDICAL MICROBIOLOGY	23
HONOURS EARTH & ENVIRONMENTAL SCIENCES	02
HONOURS PEACE STUDIES & PHILOSOPHY	14
HONOURS PHILOSOPHY & RELIGIOUS STUDIES	14
IRREGULAR	06
HONOURS INTEGRATED SCIENCE (PSYCHOLOGY, NEUROSCIENCE & BEHAVIOUR))	02
HONOURS MUSIC (MUSIC COGNITION)	14
HONOURS ANTHROPOLOGY & SOCIOLOGY	15
HONOURS POLITICAL SCIENCE & THEATRE & FILM STUDIES	14
HONOURS COMMUNICATION STUDIES & LINGUISTIC COGNITIVE SCIENCE	14
HONOURS ARTS & SCIENCE & MULTIMEDIA	07
HONOURS MUSIC & THEATRE & FILM STUDIES	14
ENGINEERING PHYSICS NUCLEAR ENG & ENERGY SYSTEMS STR CO-OP	03
HONOURS MULTIMEDIA	14
HONOURS FRENCH & HISTORY	14
PAEDIATRICS	23
HONOURS PSYCHOLOGY-NEUROSCIENCE & BEHAVIOUR-MUSIC COGNITION	15
HONOURS ARTS & SCIENCE & HEALTH STUDIES	07
HONOURS INTEGRATED SCIENCE (RADIATION SCIENCE)	02
CHEMICAL ENGINEERING & MANAGEMENT	03
ANAESTHESIOLOGY	23
EMERGENCY MEDICINE-FAMILY	23
HONOURS MULTIMEDIA & ECONOMICS	14
CIVIL ENGIN'G&MANAGEMENT-STRUCTURAL/GEOTECHNICAL ENG STR	03
HONOURS LINGUISTICS & POLITICAL SCIENCE	14
CARDIOLOGY/INTERNAL MEDICINE	23
HONOURS PHILOSOPHY	14
CONTINUING	03
HONOURS HEALTH STUDIES & ECONOMICS	15
NURSING (POST DIPLOMA REGISTERED PRACTICAL NURSE) - MOHAWK	24
GEOGRAPHY	15
HONOURS CLASSICS & CULTURAL STUDIES & CRITICAL THEORY	14
CIVIL ENGINEERING-WATER/ENVIRONMENTAL ENG STREAM CO-OP	03
HUMANITIES 1	14
HONOURS LABOUR STUDIES & SOCIOLOGY	15
MATERIALS ENGINEERING & INTERNATIONAL STUDIES CO-OP	03
HONOURS CHEMISTRY (CO-OP)	02
ENVIRONMENTAL SCIENCES	02
PEDIATRICS WATERLOO-WELLINGTON	23
DEVELOPMENTAL PEDIATRICS/PEDIATRICS	23
SOFTWARE ENGINEERING (GAME DESIGN)	03
HONOURS COGNITIVE SCIENCE OF LANGUAGE & ANTHROPOLOGY	14
ORTHOPEDIC SURGERY	23
FAMILY MEDICINE - RURAL	23
HONOURS ANTHROPOLOGY & FRENCH	14
CLINICAL INVESTIGATOR PROGRAMME-ORTHOPEDIC SURGERY	23
FRENCH & SOCIAL WORK	14
HONOURS PEACE STUDIES & ANTHROPOLOGY	14
HONOURS LIFE SCIENCES	02
CIVIL ENGINEERING & INTERNATIONAL STUDIES CO-OP	03
HONOURS BIOCHEMISTRY (BIOTECHNOLOGY)	02
HONOURS ENGLISH & ANTHROPOLOGY	14
SOFTWARE ENGINEERING CO-OP	03
DIVINITY COLLEGE MASTER OF ARTS CHRISTIAN STUDIES	13
HONOURS HEALTH STUDIES	15
HONOURS ARTS & SCIENCE & MATHEMATICS	07
HONOURS ENGLISH & LABOUR STUDIES	14
RESPIRATORY MEDICINE/INTERNAL MEDICINE	23
COMPUTER ENGINEERING & INTERNATIONAL STUDIES CO-OP	03
FAMILY MEDICINE/RURAL - GRAND ERIE SIX NATIONS	23
HONOURS MATHEMATICS & COMPUTER SCIENCE	02
PSYCHIATRY	23
HONOURS ENGLISH & POLITICAL SCIENCE	14
MUSIC	14
HONOURS GERONTOLOGY & SOCIOLOGY	15
MATERIALS ENGINEERING CO-OP	03
HONOURS COMMUNICATION STUDIES & FRENCH	14
HEALTH, AGING & SOCIETY & SOCIAL WORK	15
HONOURS B HTH SCI (GLOBAL HEALTH SPECIALIZATION)	04
MECHANICAL ENGINEERING & SOCIETY CO-OP	03
COMMERCE	06
GASTROENTEROLOGY	23
ELECTRICAL ENGINEERING	03
PSYCHOLOGY	15
HONOURS ENGLISH & FRENCH	14
HONOURS HISTORY & WOMEN'S STUDIES	14
SURGERY	23
HONOURS COMMUNICATION STUDIES & LINGUISTICS	14
HONOURS PHYSICS (CO-OP)	02
MIDWIFERY	22
CLINICIAN INVESTIGATORS PROGRAM/PEDIATRICS	23
MATERIALS ENGINEERING & SOCIETY - NANOMATERIALS STREAM CO-OP	03
HONOURS ANTHROPOLOGY & RELIGIOUS STUDIES	15
HONOURS ECONOMICS & FRENCH	14
MECHATRONICS & INTERNATIONAL STUDIES CO-OP	03
HONOURS ART HISTORY & COMMUNICATION STUDIES	14
ELECTRICAL & BIOMEDICAL ENGINEERING	03
HONOURS COMMUNICATION STUDIES & CLASSICS	14
HONOURS INTEGRATED SCIENCE (CHEMICAL BIOLOGY)	02
HONOURS INTEGRATED SCIENCE (PHYSICS)	02
HONOURS INTEGRATED SCIENCE (CHEMISTRY)	02
HONOURS POLITICAL SCIENCE & RELIGIOUS STUDIES	15
HONOURS HISTORY & SOCIOLOGY	14
SOFTWARE ENGINEERING & INTERNATIONAL STUDIES	03
HONOURS MATHEMATICS & STATISTICS(MATHEMATICS SPECIALIZATION)	02
HONOURS ENGLISH & MULTIMEDIA	14
CLINICAL HEMATOLOGY - ADULT/INTERNAL MEDICINE	23
HONOURS HISTORY & PEACE STUDIES	14
HONOURS BACHELOR OF COMMERCE	06
HONOURS CLASSICS & PEACE STUDIES	14
HONOURS FRENCH & GEOGRAPHY	14
HONOURS FRENCH & POLITICAL SCIENCE	14
HONOURS INTEGRATED SCIENCE (BIOLOGY)	02
NURSING	05
RADIATION ONCOLOGY	23
CONTINUING	06
HONOURS SOCIOLOGY & THEATRE & FILM STUDIES	14
HONOURS ENGLISH & GEOGRAPHY	14
FAMILY MEDICINE - PALLIATIVE CARE	23
DIAGNOSTIC RADIOLOGY	23
HONOURS KINESIOLOGY 1	02
HONOURS ARTS & SCIENCE & THEATRE & FILM STUDIES	07
HONOURS ARTS & SCIENCE & ANTHROPOLOGY	07
HONOURS LINGUISTICS & ANTHROPOLOGY	14
MECHATRONICS ENGINEERING CO-OP	03
COMPUTER ENGINEERING & SOCIETY	03
COMPUTER ENGINEERING CO-OP	03
HONOURS ART HISTORY & MULTIMEDIA	14
HONOURS LABOUR STUDIES & POLITICAL SCIENCE	15
NURSING (BASIC ACCELERATED)	05
HONOURS PHYSICS	02
